Sample Year,Field number/letter,Plot number,Depth,NTrt,NAdd,NitrAdd,NAtm+NAdd,Fenced,Orignal Fence Trt,Burned,Original Burn Trt,Original Trt,Root biomass (g/m2)
year,field,plot,depth,ntrt,nadd,fertadd,natm.nadd,fence,fence.origin,burn,burn.origin,trt.origin,mass.root
1988,D,33,0-30,9,0,0,1,1,1,1,1,1,567.6373
1988,D,34,0-30,9,0,0,1,1,1,1,1,1,757.4641
1988,D,44,0-30,9,0,0,1,1,1,1,1,1,591.596
1989,A,1,0-30,9,0,0,1,1,1,0,1,1,411.3527
1989,A,5,0-30,9,0,0,1,1,1,0,1,1,581.8282
1989,A,20,0-30,9,0,0,1,1,1,0,1,1,585.3299
1989,A,33,0-30,9,0,0,1,1,1,0,1,1,406.0081
1989,A,46,0-30,9,0,0,1,1,1,0,1,1,650.2027
1989,A,47,0-30,9,0,0,1,1,1,0,1,1,426.0966
1989,B,6,0-30,9,0,0,1,1,1,0,1,1,534.648
1989,B,12,0-30,9,0,0,1,1,1,0,1,1,655.7317
1989,B,21,0-30,9,0,0,1,1,1,0,1,1,596.9407
1989,B,35,0-30,9,0,0,1,1,1,0,1,1,745.1161
1989,B,37,0-30,9,0,0,1,1,1,0,1,1,691.6697
1989,B,52,0-30,9,0,0,1,1,1,0,1,1,474.5669
1989,C,18,0-30,9,0,0,1,1,1,0,1,1,777.5525
1989,C,28,0-30,9,0,0,1,1,1,0,1,1,973.4611
1989,C,30,0-30,9,0,0,1,1,1,0,1,1,590.3059
1989,C,33,0-30,9,0,0,1,1,1,0,1,1,373.9403
1989,C,53,0-30,9,0,0,1,1,1,0,1,1,354.2204
1989,C,54,0-30,9,0,0,1,1,1,0,1,1,655.5474
1989,D,2,0-30,9,0,0,1,1,1,1,1,1,854.7733
1989,D,25,0-30,9,0,0,1,1,1,1,1,1,1898.0833
1989,D,33,0-30,9,0,0,1,1,1,1,1,1,902.5065
1989,D,34,0-30,9,0,0,1,1,1,1,1,1,730.5566
